"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันพระ ขึ้น 15 ค่ำ เดือนแปดหลัง(๘๘)","20210724",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนแปดหลัง(๘๘) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนแปดหลัง(๘๘)","20210801",,,,"true","วันอาทิตย์ แรม 8 ค่ำ เดือนแปดหลัง(๘๘) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนแปดหลัง(๘๘)","20210808",,,,"true","วันอาทิตย์ แรม 15 ค่ำ เดือนแปดหลัง(๘๘) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนเก้า(๙)","20210816",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนเก้า(๙) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนเก้า(๙)","20210823",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนเก้า(๙) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนเก้า(๙)","20210831",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนเก้า(๙) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนเก้า(๙)","20210906",,,,"true","วันจันทร์ แรม 14 ค่ำ เดือนเก้า(๙) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบ(๑๐)","20210914",,,,"true","วันอังคาร ขึ้น 8 ค่ำ เดือนสิบ(๑๐) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสิบ(๑๐)","20210921",,,,"true","วันอังคาร ขึ้น 15 ค่ำ เดือนสิบ(๑๐) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบ(๑๐)","20210929",,,,"true","วันพุธ แรม 8 ค่ำ เดือนสิบ(๑๐) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนสิบ(๑๐)","20211006",,,,"true","วันพุธ แรม 15 ค่ำ เดือนสิบ(๑๐) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบเอ็ด(๑๑)","20211014",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนสิบเอ็ด(๑๑) ปีฉลู","3",""
"วันออกพรรษา ขึ้น 15 ค่ำ เดือนสิบเอ็ด(๑๑)","20211021",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนสิบเอ็ด(๑๑) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบเอ็ด(๑๑)","20211029",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนสิบเอ็ด(๑๑) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนสิบเอ็ด(๑๑)","20211104",,,,"true","วันพฤหัสบดี แรม 14 ค่ำ เดือนสิบเอ็ด(๑๑) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบสอง(๑๒)","20211112",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนสิบสอง(๑๒) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสิบสอง(๑๒)","20211119",,,,"true","วันศุกร์ ขึ้น 15 ค่ำ เดือนสิบสอง(๑๒) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบสอง(๑๒)","20211127",,,,"true","วันเสาร์ แรม 8 ค่ำ เดือนสิบสอง(๑๒) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนสิบสอง(๑๒)","20211204",,,,"true","วันเสาร์ แรม 15 ค่ำ เดือนสิบสอง(๑๒) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนอ้าย(๑)","20211212",,,,"true","วันอาทิตย์ ขึ้น 8 ค่ำ เดือนอ้าย(๑) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนอ้าย(๑)","20211219",,,,"true","วันอาทิตย์ ขึ้น 15 ค่ำ เดือนอ้าย(๑) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนอ้าย(๑)","20211227",,,,"true","วันจันทร์ แรม 8 ค่ำ เดือนอ้าย(๑) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนอ้าย(๑)","20220102",,,,"true","วันอาทิตย์ แรม 14 ค่ำ เดือนอ้าย(๑) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนยี่(๒)","20220110",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนยี่(๒) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนยี่(๒)","20220117",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนยี่(๒) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนยี่(๒)","20220125",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนยี่(๒) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนยี่(๒)","20220201",,,,"true","วันอังคาร แรม 15 ค่ำ เดือนยี่(๒) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสาม(๓)","20220209",,,,"true","วันพุธ ขึ้น 8 ค่ำ เดือนสาม(๓) ปีฉลู","3",""
"วันมาฆบูชา ขึ้น 15 ค่ำ เดือนสาม(๓)","20220216",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนสาม(๓) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสาม(๓)","20220224",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนสาม(๓) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนสาม(๓)","20220302",,,,"true","วันพุธ แรม 14 ค่ำ เดือนสาม(๓) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสี่(๔)","20220310",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนสี่(๔) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสี่(๔)","20220317",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนสี่(๔) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนสี่(๔)","20220325",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนสี่(๔) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนสี่(๔)","20220401",,,,"true","วันศุกร์ แรม 15 ค่ำ เดือนสี่(๔) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนห้า(๕)","20220409",,,,"true","วันเสาร์ ขึ้น 8 ค่ำ เดือนห้า(๕) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนห้า(๕)","20220416",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนห้า(๕) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนห้า(๕)","20220424",,,,"true","วันอาทิตย์ แรม 8 ค่ำ เดือนห้า(๕) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนห้า(๕)","20220430",,,,"true","วันเสาร์ แรม 14 ค่ำ เดือนห้า(๕) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนหก(๖)","20220508",,,,"true","วันอาทิตย์ ขึ้น 8 ค่ำ เดือนหก(๖) ปีขาล","3",""
"วันวิสาขบูชา ขึ้น 15 ค่ำ เดือนหก(๖)","20220515",,,,"true","วันอาทิตย์ ขึ้น 15 ค่ำ เดือนหก(๖) ปีขาล","3",""
"วันอัฏฐมีบูชา แรม 8 ค่ำ เดือนหก(๖)","20220523",,,,"true","วันจันทร์ แรม 8 ค่ำ เดือนหก(๖) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนหก(๖)","20220530",,,,"true","วันจันทร์ แรม 15 ค่ำ เดือนหก(๖) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนเจ็ด(๗)","20220607",,,,"true","วันอังคาร ขึ้น 8 ค่ำ เดือนเจ็ด(๗) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนเจ็ด(๗)","20220614",,,,"true","วันอังคาร ขึ้น 15 ค่ำ เดือนเจ็ด(๗) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนเจ็ด(๗)","20220622",,,,"true","วันพุธ แรม 8 ค่ำ เดือนเจ็ด(๗) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนเจ็ด(๗)","20220628",,,,"true","วันอังคาร แรม 14 ค่ำ เดือนเจ็ด(๗) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนแปด(๘)","20220706",,,,"true","วันพุธ ขึ้น 8 ค่ำ เดือนแปด(๘) ปีขาล","3",""
"วันอาสาฬหบูชา ขึ้น 15 ค่ำ เดือนแปด(๘)","20220713",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนแปด(๘) ปีขาล","3",""
"วันเข้าพรรษา แรม 1 ค่ำ เดือนแปด(๘)","20220714",,,,"true","วันพฤหัสบดี แรม 1 ค่ำ เดือนแปด(๘) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนแปด(๘)","20220721",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนแปด(๘) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนแปด(๘)","20220728",,,,"true","วันพฤหัสบดี แรม 15 ค่ำ เดือนแปด(๘) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนเก้า(๙)","20220805",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนเก้า(๙) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนเก้า(๙)","20220812",,,,"true","วันศุกร์ ขึ้น 15 ค่ำ เดือนเก้า(๙) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนเก้า(๙)","20220820",,,,"true","วันเสาร์ แรม 8 ค่ำ เดือนเก้า(๙) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนเก้า(๙)","20220826",,,,"true","วันศุกร์ แรม 14 ค่ำ เดือนเก้า(๙) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบ(๑๐)","20220903",,,,"true","วันเสาร์ ขึ้น 8 ค่ำ เดือนสิบ(๑๐) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสิบ(๑๐)","20220910",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนสิบ(๑๐) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบ(๑๐)","20220918",,,,"true","วันอาทิตย์ แรม 8 ค่ำ เดือนสิบ(๑๐) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนสิบ(๑๐)","20220925",,,,"true","วันอาทิตย์ แรม 15 ค่ำ เดือนสิบ(๑๐) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบเอ็ด(๑๑)","20221003",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนสิบเอ็ด(๑๑) ปีขาล","3",""
"วันออกพรรษา ขึ้น 15 ค่ำ เดือนสิบเอ็ด(๑๑)","20221010",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนสิบเอ็ด(๑๑) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบเอ็ด(๑๑)","20221018",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนสิบเอ็ด(๑๑) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนสิบเอ็ด(๑๑)","20221024",,,,"true","วันจันทร์ แรม 14 ค่ำ เดือนสิบเอ็ด(๑๑) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบสอง(๑๒)","20221101",,,,"true","วันอังคาร ขึ้น 8 ค่ำ เดือนสิบสอง(๑๒) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสิบสอง(๑๒)","20221108",,,,"true","วันอังคาร ขึ้น 15 ค่ำ เดือนสิบสอง(๑๒) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบสอง(๑๒)","20221116",,,,"true","วันพุธ แรม 8 ค่ำ เดือนสิบสอง(๑๒) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนสิบสอง(๑๒)","20221123",,,,"true","วันพุธ แรม 15 ค่ำ เดือนสิบสอง(๑๒) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนอ้าย(๑)","20221201",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนอ้าย(๑) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนอ้าย(๑)","20221208",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนอ้าย(๑) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนอ้าย(๑)","20221216",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนอ้าย(๑) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนอ้าย(๑)","20221222",,,,"true","วันพฤหัสบดี แรม 14 ค่ำ เดือนอ้าย(๑) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนยี่(๒)","20221230",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนยี่(๒) ปีขาล","3",""
