"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันพระ แรม 8 ค่ำ เดือนแปด(8)","20220721",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนแปด(8) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนแปด(8)","20220728",,,,"true","วันพฤหัสบดี แรม 15 ค่ำ เดือนแปด(8) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนเก้า(9)","20220805",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนเก้า(9) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนเก้า(9)","20220812",,,,"true","วันศุกร์ ขึ้น 15 ค่ำ เดือนเก้า(9) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนเก้า(9)","20220820",,,,"true","วันเสาร์ แรม 8 ค่ำ เดือนเก้า(9) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนเก้า(9)","20220826",,,,"true","วันศุกร์ แรม 14 ค่ำ เดือนเก้า(9) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบ(10)","20220903",,,,"true","วันเสาร์ ขึ้น 8 ค่ำ เดือนสิบ(10) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสิบ(10)","20220910",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนสิบ(10) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบ(10)","20220918",,,,"true","วันอาทิตย์ แรม 8 ค่ำ เดือนสิบ(10) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนสิบ(10)","20220925",,,,"true","วันอาทิตย์ แรม 15 ค่ำ เดือนสิบ(10) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบเอ็ด(11)","20221003",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนสิบเอ็ด(11) ปีขาล","3",""
"วันออกพรรษา ขึ้น 15 ค่ำ เดือนสิบเอ็ด(11)","20221010",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนสิบเอ็ด(11) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบเอ็ด(11)","20221018",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนสิบเอ็ด(11) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนสิบเอ็ด(11)","20221024",,,,"true","วันจันทร์ แรม 14 ค่ำ เดือนสิบเอ็ด(11) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสิบสอง(12)","20221101",,,,"true","วันอังคาร ขึ้น 8 ค่ำ เดือนสิบสอง(12) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสิบสอง(12)","20221108",,,,"true","วันอังคาร ขึ้น 15 ค่ำ เดือนสิบสอง(12) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนสิบสอง(12)","20221116",,,,"true","วันพุธ แรม 8 ค่ำ เดือนสิบสอง(12) ปีขาล","3",""
"วันพระ แรม 15 ค่ำ เดือนสิบสอง(12)","20221123",,,,"true","วันพุธ แรม 15 ค่ำ เดือนสิบสอง(12) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนอ้าย(1)","20221201",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนอ้าย(1) ปีขาล","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนอ้าย(1)","20221208",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนอ้าย(1) ปีขาล","3",""
"วันพระ แรม 8 ค่ำ เดือนอ้าย(1)","20221216",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนอ้าย(1) ปีขาล","3",""
"วันพระ แรม 14 ค่ำ เดือนอ้าย(1)","20221222",,,,"true","วันพฤหัสบดี แรม 14 ค่ำ เดือนอ้าย(1) ปีขาล","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนยี่(2)","20221230",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนยี่(2) ปีขาล","3",""
